type,code,message,context,selector,selector,
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<span>記事</span>,#js-link-box-ja > small > span,#searchLanguage > option:nth-child(7),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<strong>Deutsch</strong>,#js-link-box-de > strong,#searchLanguage > option:nth-child(8),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<bdi dir=\ltr\"">2&nbsp;764&nbsp;000+</bdi>""",#js-link-box-de > small > bdi,#searchLanguage > option:nth-child(9),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<span>Artikel</span>,#js-link-box-de > small > span,#searchLanguage > option:nth-child(10),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<strong>Français</strong>,#js-link-box-fr > strong,#searchLanguage > option:nth-child(11),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<bdi dir=\ltr\"">2&nbsp;488&nbsp;000+</bdi>""",#js-link-box-fr > small > bdi,#searchLanguage > option:nth-child(12),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<span>articles</span>,#js-link-box-fr > small > span,#searchLanguage > option:nth-child(13),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<strong>Español</strong>,#js-link-box-es > strong,#searchLanguage > option:nth-child(14),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<bdi dir=\ltr\"">1&nbsp;833&nbsp;000+</bdi>""",#js-link-box-es > small > bdi,#searchLanguage > option:nth-child(15),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<span>artículos</span>,#js-link-box-es > small > span,#searchLanguage > option:nth-child(16),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<strong>Italiano</strong>,#js-link-box-it > strong,#searchLanguage > option:nth-child(17),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<bdi dir=\ltr\"">1&nbsp;792&nbsp;000+</bdi>""",#js-link-box-it > small > bdi,#searchLanguage > option:nth-child(18),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<span>voci</span>,#js-link-box-it > small > span,#searchLanguage > option:nth-child(19),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<strong>中文</strong>,#js-link-box-zh > strong,#searchLanguage > option:nth-child(20),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<bdi dir=\ltr\"">1&nbsp;331&nbsp;000+</bdi>""",#js-link-box-zh > small > bdi,#searchLanguage > option:nth-child(21),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<span data-hans=\条目\"" data-hant=\""條目\"" class=\""jscnconv\"">条目 / 條目</span>""",#js-link-box-zh > small > span,#searchLanguage > option:nth-child(22),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<bdi dir=\rtl\"">فارسی</bdi>""",#js-link-box-fa > strong > bdi,#searchLanguage > option:nth-child(23),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<bdi dir=\ltr\"">947&nbsp;000+</bdi>""",#js-link-box-fa > small > bdi,#searchLanguage > option:nth-child(24),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<span>مقاله</span>,#js-link-box-fa > small > span,#searchLanguage > option:nth-child(25),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<strong>Polski</strong>,#js-link-box-pl > strong,#searchLanguage > option:nth-child(26),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<bdi dir=\ltr\"">1&nbsp;552&nbsp;000+</bdi>""",#js-link-box-pl > small > bdi,#searchLanguage > option:nth-child(27),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,<span>haseł</span>,#js-link-box-pl > small > span,#searchLanguage > option:nth-child(28),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<label for=\searchInput\"" class=\""screen-reader-text\"" data-jsl10n=\""portal.search-input-label\"">Search Wikipedia</label>""",#search-input > label,#searchLanguage > option:nth-child(29),#N/A
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<label for=\searchLanguage\"" id=\""jsLangLabel\"" class=\""js-langpicker-label\"">en</label>""",#jsLangLabel,#searchLanguage > option:nth-child(30),#jsLangLabel
warning,WCAG2AA.Principle1.Guideline1_3.1_3_1.H85.2,"If this selection list contains groups of related options, they should be grouped with optgroup.","<select id=\searchLanguage\"" name=\""language\"">\n<option value=\""af\"" lang=\""af\"">A...</select>""",#searchLanguage,#searchLanguage > option:nth-child(31),#searchLanguage
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\af\"" lang=\""af\"">Afrikaans</option>""",#searchLanguage > option:nth-child(1),#searchLanguage > option:nth-child(32),#searchLanguage > option:nth-child(1)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\pl\"" lang=\""pl\"">Polski</option>""",#searchLanguage > option:nth-child(2),#searchLanguage > option:nth-child(33),#searchLanguage > option:nth-child(2)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\ar\"" lang=\""ar\"">العربية</option>""",#searchLanguage > option:nth-child(3),#searchLanguage > option:nth-child(34),#searchLanguage > option:nth-child(3)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\ast\"" lang=\""ast\"">Asturianu</option>""",#searchLanguage > option:nth-child(4),#searchLanguage > option:nth-child(35),#searchLanguage > option:nth-child(4)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\az\"" lang=\""az\"">Azərbaycanca</option>""",#searchLanguage > option:nth-child(5),#searchLanguage > option:nth-child(36),#searchLanguage > option:nth-child(5)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\bg\"" lang=\""bg\"">Български</option>""",#searchLanguage > option:nth-child(6),#searchLanguage > option:nth-child(37),#searchLanguage > option:nth-child(6)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\nan\"" lang=\""nan\"">Bân-lâm-gú / Hō-ló-oē</option>""",#searchLanguage > option:nth-child(7),#searchLanguage > option:nth-child(38),#searchLanguage > option:nth-child(7)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\bn\"" lang=\""bn\"">বাংলা</option>""",#searchLanguage > option:nth-child(8),#searchLanguage > option:nth-child(39),#searchLanguage > option:nth-child(8)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\be\"" lang=\""be\"">Беларуская</option>""",#searchLanguage > option:nth-child(9),#searchLanguage > option:nth-child(40),#searchLanguage > option:nth-child(9)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\ca\"" lang=\""ca\"">Català</option>""",#searchLanguage > option:nth-child(10),#searchLanguage > option:nth-child(41),#searchLanguage > option:nth-child(10)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\cs\"" lang=\""cs\"">Čeština</option>""",#searchLanguage > option:nth-child(11),#searchLanguage > option:nth-child(42),#searchLanguage > option:nth-child(11)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\cy\"" lang=\""cy\"">Cymraeg</option>""",#searchLanguage > option:nth-child(12),#searchLanguage > option:nth-child(43),#searchLanguage > option:nth-child(12)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\da\"" lang=\""da\"">Dansk</option>""",#searchLanguage > option:nth-child(13),#searchLanguage > option:nth-child(44),#searchLanguage > option:nth-child(13)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\de\"" lang=\""de\"">Deutsch</option>""",#searchLanguage > option:nth-child(14),#searchLanguage > option:nth-child(45),#searchLanguage > option:nth-child(14)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\et\"" lang=\""et\"">Eesti</option>""",#searchLanguage > option:nth-child(15),#searchLanguage > option:nth-child(46),#searchLanguage > option:nth-child(15)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\el\"" lang=\""el\"">Ελληνικά</option>""",#searchLanguage > option:nth-child(16),#searchLanguage > option:nth-child(47),#searchLanguage > option:nth-child(16)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\en\"" lang=\""en\"" selected=\""selected\"">English</option>""",#searchLanguage > option:nth-child(17),#searchLanguage > option:nth-child(48),#searchLanguage > option:nth-child(17)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\es\"" lang=\""es\"">Español</option>""",#searchLanguage > option:nth-child(18),#searchLanguage > option:nth-child(49),#searchLanguage > option:nth-child(18)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\eo\"" lang=\""eo\"">Esperanto</option>""",#searchLanguage > option:nth-child(19),#searchLanguage > option:nth-child(50),#searchLanguage > option:nth-child(19)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\eu\"" lang=\""eu\"">Euskara</option>""",#searchLanguage > option:nth-child(20),#searchLanguage > option:nth-child(51),#searchLanguage > option:nth-child(20)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\fa\"" lang=\""fa\"">فارسی</option>""",#searchLanguage > option:nth-child(21),#searchLanguage > option:nth-child(52),#searchLanguage > option:nth-child(21)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\fr\"" lang=\""fr\"">Français</option>""",#searchLanguage > option:nth-child(22),#searchLanguage > option:nth-child(53),#searchLanguage > option:nth-child(22)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\gl\"" lang=\""gl\"">Galego</option>""",#searchLanguage > option:nth-child(23),#searchLanguage > option:nth-child(54),#searchLanguage > option:nth-child(23)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\ko\"" lang=\""ko\"">한국어</option>""",#searchLanguage > option:nth-child(24),#searchLanguage > option:nth-child(55),#searchLanguage > option:nth-child(24)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\hi\"" lang=\""hi\"">हिन्दी</option>""",#searchLanguage > option:nth-child(25),#searchLanguage > option:nth-child(56),#searchLanguage > option:nth-child(25)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\hr\"" lang=\""hr\"">Hrvatski</option>""",#searchLanguage > option:nth-child(26),#searchLanguage > option:nth-child(57),#searchLanguage > option:nth-child(26)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\id\"" lang=\""id\"">Bahasa Indonesia</option>""",#searchLanguage > option:nth-child(27),#searchLanguage > option:nth-child(58),#searchLanguage > option:nth-child(27)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\it\"" lang=\""it\"">Italiano</option>""",#searchLanguage > option:nth-child(28),#searchLanguage > option:nth-child(59),#searchLanguage > option:nth-child(28)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\he\"" lang=\""he\"">עברית</option>""",#searchLanguage > option:nth-child(29),#searchLanguage > option:nth-child(60),#searchLanguage > option:nth-child(29)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\ka\"" lang=\""ka\"">ქართული</option>""",#searchLanguage > option:nth-child(30),#searchLanguage > option:nth-child(61),#searchLanguage > option:nth-child(30)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\la\"" lang=\""la\"">Latina</option>""",#searchLanguage > option:nth-child(31),#searchLanguage > option:nth-child(62),#searchLanguage > option:nth-child(31)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\lv\"" lang=\""lv\"">Latviešu</option>""",#searchLanguage > option:nth-child(32),#searchLanguage > option:nth-child(63),#searchLanguage > option:nth-child(32)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\lt\"" lang=\""lt\"">Lietuvių</option>""",#searchLanguage > option:nth-child(33),#searchLanguage > option:nth-child(64),#searchLanguage > option:nth-child(33)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\hu\"" lang=\""hu\"">Magyar</option>""",#searchLanguage > option:nth-child(34),#searchLanguage > option:nth-child(65),#searchLanguage > option:nth-child(34)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\mk\"" lang=\""mk\"">Македонски</option>""",#searchLanguage > option:nth-child(35),#searchLanguage > option:nth-child(66),#searchLanguage > option:nth-child(35)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\arz\"" lang=\""arz\"">مصرى</option>""",#searchLanguage > option:nth-child(36),#searchLanguage > option:nth-child(67),#searchLanguage > option:nth-child(36)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\ms\"" lang=\""ms\"">Bahasa Melayu</option>""",#searchLanguage > option:nth-child(37),#searchLanguage > option:nth-child(68),#searchLanguage > option:nth-child(37)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\min\"" lang=\""min\"">Bahaso Minangkabau</option>""",#searchLanguage > option:nth-child(38),#searchLanguage > option:nth-child(69),#searchLanguage > option:nth-child(38)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\nl\"" lang=\""nl\"">Nederlands</option>""",#searchLanguage > option:nth-child(39),#searchLanguage > option:nth-child(70),#searchLanguage > option:nth-child(39)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\ja\"" lang=\""ja\"">日本語</option>""",#searchLanguage > option:nth-child(40),#search-form > fieldset > button > i,#searchLanguage > option:nth-child(40)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\no\"" lang=\""nb\"">Norsk (bokmål)</option>""",#searchLanguage > option:nth-child(41),#www-wikipedia-org > div:nth-child(8) > div:nth-child(2) > div > div > ul > li:nth-child(1) > a > span,#searchLanguage > option:nth-child(41)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\nn\"" lang=\""nn\"">Norsk (nynorsk)</option>""",#searchLanguage > option:nth-child(42),#www-wikipedia-org > div:nth-child(8) > div:nth-child(2) > div > div > ul > li:nth-child(2) > a > span,#searchLanguage > option:nth-child(42)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\ce\"" lang=\""ce\"">Нохчийн</option>""",#searchLanguage > option:nth-child(43),,#searchLanguage > option:nth-child(43)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\uz\"" lang=\""uz\"">Oʻzbekcha / Ўзбекча</option>""",#searchLanguage > option:nth-child(44),,#searchLanguage > option:nth-child(44)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\pt\"" lang=\""pt\"">Português</option>""",#searchLanguage > option:nth-child(45),,#searchLanguage > option:nth-child(45)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\kk\"" lang=\""kk\"">Қазақша / Qazaqşa / قازاقشا</option>""",#searchLanguage > option:nth-child(46),,#searchLanguage > option:nth-child(46)
warning,WCAG2AA.Principle1.Guideline1_4.1_4_3.G18.Abs,This element is absolutely positioned and the background color can not be determined. Ensure the contrast ratio between the text and all covered parts of the background are at least 4.5:1.,"<option value=\ro\"" lang=\""ro\"">Română</option>""",#searchLanguage > option:nth-child(47),,#searchLanguage > option:nth-child(47)
