type,code,message,context_x,selector,category,context_y
critical,wcag412,"Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<button class=""toggle-darkMode"" data-gfg-action=""toggleGFGTheme"">",div.header-sidebar__wrapper > div.mobile_translate > div > button.toggle-darkMode,cat.name-role-value,"<button class=""toggle-darkMode"" data-gfg-action=""toggleGFGTheme"">"
critical,wcag412,"Fix any of the following:
  Element does not have inner text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute
  Element's default semantics were not overridden with role=""none"" or role=""presentation""","<button class=""header-main__slider-arrow previous"">",body.blog > div.header-main__slider > button.header-main__slider-arrow,cat.name-role-value,"<button class=""header-main__slider-arrow previous"">"
serious,"wcag412,wcag244","Fix all of the following:
  Element is in tab order and does not have accessible text

Fix any of the following:
  Element does not have text that is visible to screen readers
  aria-label attribute does not exist or is empty
  aria-labelledby attribute does not exist, references elements that do not exist or references elements that are empty
  Element has no title attribute","<a class=""footer-wrapper_branding-anchor"" href=""https://www.geeksforgeeks.org/"">",footer#gfg-footer > div.footer-wrapper > div.footer-wrapper_branding > a.footer-wrapper_branding-anchor,cat.name-role-value,"<a class=""footer-wrapper_branding-anchor"" href=""https://www.geeksforgeeks.org/"">"
serious,wcag143,"Fix any of the following:
  Element has insufficient color contrast of 4.18 (foreground color: #2f8d46, background color: #ffffff, font size: 9.8pt (13px), font weight: normal). Expected contrast ratio of 4.5:1","<a class=""gfg_home_page_gBlogHeading"" href=""https://www.geeksforgeeks.org/category/guestblogs/"">",div.ant-col > div.ant-col > div.ant-col > a.gfg_home_page_gBlogHeading,cat.color,"<a class=""gfg_home_page_gBlogHeading"" href=""https://www.geeksforgeeks.org/category/guestblogs/"">"
serious,wcag143,"Fix any of the following:
  Element has insufficient color contrast of 4.32 (foreground color: #797980, background color: #ffffff, font size: 10.5pt (14px), font weight: normal). Expected contrast ratio of 4.5:1","<span class=""gfg_home_page_course_level_color"" style=""padding-left: 8px;"">",div.ant-col > div.ant-row > div > span.gfg_home_page_course_level_color,cat.color,"<span class=""gfg_home_page_course_level_color"" style=""padding-left: 8px;"">"
serious,wcag143,"Fix any of the following:
  Element has insufficient color contrast of 4.17 (foreground color: #308d46, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1",<li>,div.footer-wrapper > div.footer-wrapper_links > ul.footer-wrapper_links-list > li,cat.color,<li>
serious,wcag143,"Fix any of the following:
  Element has insufficient color contrast of 4.17 (foreground color: #308d46, background color: #ffffff, font size: 13.5pt (18px), font weight: normal). Expected contrast ratio of 4.5:1","<a class=""link-head"" href=""https://news.geeksforgeeks.org/?ref=footer"">",div.footer-wrapper_links > ul.footer-wrapper_links-list > li > a.link-head,cat.color,"<a class=""link-head"" href=""https://news.geeksforgeeks.org/?ref=footer"">"
serious,wcag143,"Fix any of the following:
  Element has insufficient color contrast of 4.17 (foreground color: #ffffff, background color: #308d46, font size: 11.0pt (14.6667px), font weight: normal). Expected contrast ratio of 4.5:1","<a href=""https://www.geeksforgeeks.org/"" rel=""noopener noreferrer"" target=""_blank"">",footer#gfg-footer > div.footer-strip > div.copyright > a,cat.color,"<a href=""https://www.geeksforgeeks.org/"" rel=""noopener noreferrer"" target=""_blank"">"
serious,wcag143,"Fix any of the following:
  Element has insufficient color contrast of 4.17 (foreground color: #ffffff, background color: #308d46, font size: 11.0pt (14.6667px), font weight: normal). Expected contrast ratio of 4.5:1","<a href=""https://www.geeksforgeeks.org/copyright-information/"">",div.footer-strip > div.copyright > span > a,cat.color,"<a href=""https://www.geeksforgeeks.org/copyright-information/"">"
serious,wcag143,"Fix any of the following:
  Element has insufficient color contrast of 4.23 (foreground color: #a9a5a5, background color: #3c404d, font size: 9.0pt (12px), font weight: normal). Expected contrast ratio of 4.5:1",<u>,div.cookie-consent > span.cookie-text > a > u,cat.color,<u>
